Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments
181,10314929,Reef_Check,-27.472,153.4099,Pacific,153.24.35.8E.27.28.19.3S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,North Stradbroke Island,nd,380.57,Sheltered,0.2787,47.92,19,11,2016,4,Hard Coral,31.88,Population,18.75,262.15,297.86,296,289.93,303.87,2.87,6,0.47,0.98,0,-3.14,4.55,13.33,5.69,28,7,2.06,4.58,27.18,2.98,-1.95,2.87,-9.87,4.05,-3.8,0,2.13,8,1,0,1.9,13.1,0.62,19-11-2016,nd,nd,nd
181,10314929,Reef_Check,-27.472,153.4099,Pacific,153.24.35.8E.27.28.19.3S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,North Stradbroke Island,nd,380.57,Sheltered,0.2787,47.92,19,11,2016,4,Nutrient Indicator Algae,0,Population,18.75,262.15,297.86,296,289.93,303.87,2.87,6,0.47,0.98,0,-3.14,4.55,13.33,5.69,28,7,2.06,4.58,27.18,2.98,-1.95,2.87,-9.87,4.05,-3.8,0,2.13,8,1,0,1.9,13.1,0.62,19-11-2016,nd,nd,nd
182,10315020,Reef_Check,-27.4701,153.3491,Pacific,153.349116E.27.470136S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,North Stradbroke Island,nd,2009.22,Sheltered,0.2412,47.92,28,4,2016,1,Hard Coral,13.75,Population,18.75,292.87,297.23,295.86,289.23,304.48,3.01,3,1.56,0.89,0,-3.19,4.55,14,4.84,23,6,6.76,3.34,18.23,2.33,-2.71,3.01,-10.71,4.53,-4.07,0,1.93,8,1,0,1.63,10.6,0.51,28-04-2016,nd,nd,nd
182,10315020,Reef_Check,-27.4701,153.3491,Pacific,153.349116E.27.470136S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,North Stradbroke Island,nd,2009.22,Sheltered,0.2412,47.92,28,4,2016,1,Nutrient Indicator Algae,12.5,Population,18.75,292.87,297.23,295.86,289.23,304.48,3.01,3,1.56,0.89,0,-3.19,4.55,14,4.84,23,6,6.76,3.34,18.23,2.33,-2.71,3.01,-10.71,4.53,-4.07,0,1.93,8,1,0,1.63,10.6,0.51,28-04-2016,nd,nd,nd
299,10314763,Reef_Check,-23.4411,151.9105,Pacific,151.9105E.23.4411S,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Heron Island,nd,94.8,Sheltered,0.0707,51.46,12,11,2014,1,Hard Coral,27.5,Population,18.75,299.63,298.57,297.35,292.83,302.86,2.22,8,0.84,0.72,0,-4.33,2.9,2,3.98,19,3,0,2.65,17.68,1.33,-1.7,2.22,-7.44,2.58,-2.91,0,1.99,7,1,0,1.53,12.13,0.44,12-11-2014,nd,nd,nd
299,10314763,Reef_Check,-23.4411,151.9105,Pacific,151.9105E.23.4411S,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Heron Island,nd,94.8,Sheltered,0.0707,51.46,12,11,2014,1,Nutrient Indicator Algae,3.75,Population,18.75,299.63,298.57,297.35,292.83,302.86,2.22,8,0.84,0.72,0,-4.33,2.9,2,3.98,19,3,0,2.65,17.68,1.33,-1.7,2.22,-7.44,2.58,-2.91,0,1.99,7,1,0,1.53,12.13,0.44,12-11-2014,nd,nd,nd
1034,10315048,Reef_Check,-27.4738,153.4049,Pacific,153.4049E.27.4738S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,North Stradbroke Island,nd,491.55,Sheltered,0.2787,47.92,19,12,2013,4,Hard Coral,23.75,Population,18.75,262.15,298.19,296,289.93,303.87,2.87,7,-0.81,0.98,0,-3.14,4.55,8.67,5.69,28,7,7.63,4.58,27.18,2.98,-1.62,2.87,-9.87,4.05,-3.8,0,2.13,8,1,0,1.9,13.1,0.62,19-12-2013,nd,nd,nd
1034,10315048,Reef_Check,-27.4738,153.4049,Pacific,153.4049E.27.4738S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,North Stradbroke Island,nd,491.55,Sheltered,0.2787,47.92,19,12,2013,4,Nutrient Indicator Algae,5.62,Population,18.75,262.15,298.19,296,289.93,303.87,2.87,7,-0.81,0.98,0,-3.14,4.55,8.67,5.69,28,7,7.63,4.58,27.18,2.98,-1.62,2.87,-9.87,4.05,-3.8,0,2.13,8,1,0,1.9,13.1,0.62,19-12-2013,nd,nd,nd
60,10314015,Reef_Check,-19.1543,146.8661,Pacific,146.86605E.19.1543S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,350.3,Sheltered,0.1942,43.39,26,6,2016,1,Hard Coral,46.25,Population,20,295.18,296.98,299.07,292.2,305.77,2.88,4,1.64,0.98,0,-3.33,3.34,17,5.32,29,7,14.07,3.32,19.92,2.78,-5.51,2.88,-10.28,3.27,-3.41,1,1.46,6,1,0,1.49,10.49,0.62,26-06-2016,nd,nd,nd
60,10314015,Reef_Check,-19.1543,146.8661,Pacific,146.86605E.19.1543S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,350.3,Sheltered,0.1942,43.39,26,6,2016,1,Nutrient Indicator Algae,31.88,Population,20,295.18,296.98,299.07,292.2,305.77,2.88,4,1.64,0.98,0,-3.33,3.34,17,5.32,29,7,14.07,3.32,19.92,2.78,-5.51,2.88,-10.28,3.27,-3.41,1,1.46,6,1,0,1.49,10.49,0.62,26-06-2016,nd,nd,nd
